# Time   VAF(t)
15.993600  0.010386
16.013592  0.015680
16.033584  0.028269
16.053576  0.045385
16.073568  0.061770
16.093560  0.072074
16.113552  0.072322
16.133544  0.060560
16.153536  0.037257
16.173528  0.005251
16.193520  -0.030049
16.213512  -0.060423
16.233504  -0.076548
16.253496  -0.071813
16.273488  -0.045410
16.293480  -0.002926
16.313472  0.044979
16.333464  0.085360
16.353456  0.106493
16.373448  0.100797
16.393440  0.066985
16.413432  0.011150
16.433424  -0.054168
16.453416  -0.113162
16.473408  -0.151089
16.493400  -0.158575
16.513392  -0.134746
16.533384  -0.087446
16.553376  -0.030170
16.573368  0.022689
16.593360  0.060832
16.613352  0.081237
16.633344  0.087382
16.653336  0.084767
16.673328  0.076943
16.693320  0.064970
16.713312  0.049230
16.733304  0.030846
16.753296  0.011757
16.773288  -0.005712
16.793280  -0.019060
16.813272  -0.025753
16.833264  -0.023952
16.853256  -0.014097
16.873248  -0.000019
16.893240  0.011669
16.913232  0.014480
16.933224  0.005736
16.953216  -0.012028
16.973208  -0.033005
16.993200  -0.050980
17.013192  -0.060992
17.033184  -0.059913
17.053176  -0.046942
17.073168  -0.024205
17.093160  0.003431
17.113152  0.029783
17.133144  0.049132
17.153136  0.057431
17.173128  0.052660
17.193120  0.035371
17.213112  0.009308
17.233104  -0.019006
17.253096  -0.042219
17.273088  -0.054424
17.293080  -0.052235
17.313072  -0.035000
17.333064  -0.004927
17.353056  0.032913
17.373048  0.070744
17.393040  0.099054
17.413032  0.109076
17.433024  0.096052
17.453016  0.061381
17.473008  0.012082
17.493000  -0.041729
17.512992  -0.089975
17.532984  -0.125109
17.552976  -0.142750
17.572968  -0.140920
17.592960  -0.119507
17.612952  -0.080618
17.632944  -0.029167
17.652936  0.026925
17.672928  0.077820
17.692920  0.114705
17.712912  0.132859
17.732904  0.132570
17.752896  0.117506
17.772888  0.092018
17.792880  0.059500
17.812872  0.022601
17.832864  -0.015631
17.852856  -0.051075
17.872848  -0.079007
17.892840  -0.095208
17.912832  -0.097130
17.932824  -0.084487
17.952816  -0.059239
17.972808  -0.025481
17.992800  0.010529
18.012792  0.040969
18.032784  0.058406
18.052776  0.058516
18.072768  0.041717
18.092760  0.013147
18.112752  -0.018651
18.132744  -0.044289
18.152736  -0.056202
18.172728  -0.050574
18.192720  -0.028792
18.212712  0.002276
18.232704  0.032262
18.252696  0.051342
18.272688  0.054316
18.292680  0.042370
18.312672  0.021816
18.332664  0.000831
18.352656  -0.013844
18.372648  -0.018763
18.392640  -0.014159
18.412632  -0.003557
18.432624  0.007557
18.452616  0.014126
18.472608  0.013749
18.492600  0.007693
18.512592  0.000013
18.532584  -0.005033
18.552576  -0.005721
18.572568  -0.004102
18.592560  -0.004754
18.612552  -0.011788
18.632544  -0.025963
18.652536  -0.043490
18.672528  -0.057493
18.692520  -0.061239
18.712512  -0.051089
18.732504  -0.027662
18.752496  0.005188
18.772488  0.042232
18.792480  0.078025
18.812472  0.106857
18.832464  0.122584
18.852456  0.119983
18.872448  0.097316
18.892440  0.057712
18.912432  0.008479
18.932424  -0.040891
18.952416  -0.081376
18.972408  -0.107165
18.992400  -0.117068
19.012392  -0.113628
19.032384  -0.100947
19.052376  -0.082512
19.072368  -0.059858
19.092360  -0.032841
19.112352  -0.001526
19.132344  0.031880
19.152336  0.062685
19.172328  0.085036
19.192320  0.094021
19.212312  0.087540
19.232304  0.067292
19.252296  0.038629
19.272288  0.009201
19.292280  -0.013275
19.312272  -0.023499
19.332264  -0.020360
19.352256  -0.007260
19.372248  0.009116
19.392240  0.021021
19.412232  0.022443
19.432224  0.011859
19.452216  -0.006858
19.472208  -0.026515
19.492200  -0.040510
19.512192  -0.045840
19.532184  -0.043440
19.552176  -0.036722
19.572168  -0.029552
19.592160  -0.024131
19.612152  -0.019754
19.632144  -0.013342
19.652136  -0.001743
19.672128  0.015334
19.692120  0.034065
19.712112  0.048225
19.732104  0.052637
19.752096  0.045524
19.772088  0.028851
19.792080  0.007321
19.812072  -0.013501
19.832064  -0.029038
19.852056  -0.036480
19.872048  -0.034685
19.892040  -0.024220
19.912032  -0.007876
19.932024  0.009247
19.952016  0.021425
19.972008  0.025261
